# x  y  peak_value  net_flux  bg_per_pixel  magnitude  mag_error
244 445 40045.00 2273025.21 3419.97 9.4085 0.0200
576 604 36257.00 1299279.71 3419.18 10.0157 0.0200
611 638 15666.00 402939.27 3420.42 11.2869 0.0200
184 125 11024.00 642788.24 3421.23 10.7798 0.0200
519 372 8559.00 170874.76 3419.18 12.2183 0.0200
130 246 7477.00 144477.00 3418.06 12.4005 0.0200
462 114 5686.00 189606.77 3420.28 12.1054 0.0200
847 14 5598.00 85299.72 3420.79 12.9726 0.0200
521 555 5034.00 53428.73 3418.84 13.4806 0.0200
327 54 4498.00 100912.69 3419.49 12.7901 0.0200
14 200 4465.00 30970.38 3418.45 14.0726 0.0200
909 413 4272.00 15802.01 3418.19 14.8032 0.0200
651 585 4243.00 24210.28 3418.91 14.3400 0.0200
106 502 4154.00 67998.51 3421.68 13.2188 0.0200
454 174 4135.00 42005.72 3420.18 13.7417 0.0200
115 440 4134.00 49254.16 3421.42 13.5689 0.0200
542 94 4054.00 38218.73 3421.57 13.8443 0.0200
204 563 4052.00 26476.37 3420.16 14.2429 0.0200
353 129 4039.00 53434.18 3419.94 13.4805 0.0200
771 623 3983.00 32111.94 3418.21 14.0333 0.0200
121 472 3967.00 52054.56 3421.91 13.5089 0.0200
428 587 3965.00 33405.49 3420.65 13.9905 0.0200
569 67 3945.00 32501.54 3420.23 14.0202 0.0200
369 186 3845.00 44114.32 3419.22 13.6886 0.0200
52 266 3842.00 19483.50 3418.12 14.5758 0.0200
409 5 3810.00 12606.64 3419.61 15.0485 0.0200
589 31 3792.00 38028.02 3421.19 13.8497 0.0200
441 451 3769.00 16438.28 3419.30 14.7604 0.0200
97 608 3754.00 22197.33 3418.98 14.4342 0.0200
744 645 3751.00 21118.87 3417.90 14.4883 0.0200
259 61 3750.00 16997.93 3419.84 14.7240 0.0200
550 124 3734.00 16933.44 3421.39 14.7281 0.0200
734 425 3733.00 15282.67 3416.11 14.8395 0.0200
721 254 3721.00 26513.31 3418.95 14.2413 0.0200
627 19 3718.00 10971.42 3420.88 15.1993 0.0200
397 631 3716.00 22622.25 3421.27 14.4137 0.0200
377 108 3695.00 9503.80 3419.29 15.3553 0.0200
447 378 3686.00 11854.19 3419.04 15.1153 0.0200
49 405 3661.00 17861.92 3418.70 14.6702 0.0200
543 177 3658.00 8240.89 3418.91 15.5101 0.0200
296 182 3658.00 15837.58 3420.76 14.8008 0.0200
11 168 3639.00 8810.25 3420.74 15.4375 0.0200
9 135 3636.00 7413.48 3421.66 15.6249 0.0200
653 308 3633.00 9827.70 3417.95 15.3189 0.0200
827 569 3629.00 6877.23 3417.37 15.7065 0.0200
534 170 3626.00 7283.37 3418.32 15.6442 0.0200
127 283 3621.00 10708.65 3418.77 15.2257 0.0200
520 335 3619.00 6949.11 3419.09 15.6952 0.0200
524 98 3605.00 5967.71 3421.09 15.8605 0.0200
811 8 3604.00 7823.93 3422.87 15.5664 0.0200
756 467 3590.00 12063.15 3416.40 15.0963 0.0200
527 578 3590.00 6502.19 3419.95 15.7674 0.0200
336 138 3587.00 7006.48 3421.27 15.6863 0.0200
173 605 3575.00 5589.53 3419.41 15.9316 0.0200
443 76 3573.00 7530.35 3420.86 15.6080 0.0200
63 146 3569.00 5567.51 3417.32 15.9358 0.0200
32 524 3563.00 5518.51 3418.49 15.9454 0.0200
415 631 3561.00 8109.94 3421.27 15.5275 0.0200
167 476 3560.00 5197.86 3420.90 16.0104 0.0200
777 15 3558.00 4043.76 3419.98 16.2830 0.0200
4 103 3557.00 6373.12 3419.89 15.7891 0.0200
451 139 3547.00 17679.10 3422.37 14.6813 0.0200
802 258 3546.00 10736.12 3416.87 15.2229 0.0200
812 518 3543.00 4685.23 3417.71 16.1232 0.0200
679 304 3541.00 3595.58 3419.49 16.4106 0.0200
628 563 3540.00 3858.81 3419.67 16.3339 0.0200
416 38 3538.00 3878.91 3419.62 16.3282 0.0200
262 528 3537.00 3407.84 3419.03 16.4688 0.0200
858 61 3536.00 3733.74 3421.42 16.3696 0.0200
169 333 3534.00 4221.93 3420.52 16.2362 0.0200
824 618 3534.00 2384.12 3418.16 16.8567 0.0200
690 395 3530.00 5498.93 3417.66 15.9493 0.0200
612 83 3528.00 3841.88 3423.21 16.3386 0.0200
807 341 3524.00 3275.65 3418.65 16.5118 0.0200
25 426 3524.00 2911.81 3419.32 16.6396 0.0200
730 11 3523.00 3843.17 3421.29 16.3383 0.0200
440 424 3522.00 4039.53 3419.78 16.2842 0.0200
14 607 3522.00 4577.55 3422.11 16.1484 0.0200
527 72 3521.00 3212.85 3421.48 16.5328 0.0200
425 344 3521.00 3461.86 3421.00 16.4517 0.0200
195 208 3520.00 3343.70 3419.24 16.4894 0.0200
172 305 3520.00 6402.21 3419.44 15.7842 0.0200
125 400 3518.00 3170.57 3420.64 16.5472 0.0200
24 40 3517.00 3188.76 3419.31 16.5409 0.0200
464 232 3517.00 1743.25 3421.02 17.1966 0.0200
364 538 3515.00 2904.72 3419.19 16.6422 0.0200
759 373 3514.00 3492.32 3417.95 16.4422 0.0200
